Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	23	1	8401	12	31	2002	2646	0.0	7984.78	8097.23	100	41.8	2342.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	606.7
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	24	1	8766	12	31	2003	2650	0.0	7695.09	7905.00	106	86.1	1681.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	677.3
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	25	1	9131	12	30	2004	2672	0.0	8382.15	8971.20	110	87.2	2024.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	380.7
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	26	1	9497	12	31	2005	2651	1.9	9852.17	10046.68	108	184.6	1437.7	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	348.3
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	27	1	9862	12	31	2006	2634	0.1	8477.78	8686.66	109	123.3	1609.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	644.7
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	28	1	10227	12	31	2007	2646	0.2	8567.44	8751.20	108	88.5	2250.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	384.7
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	29	1	10592	12	30	2008	2643	0.0	8541.80	8879.07	92	67.2	2074.3	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	523.6
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	30	1	10958	12	31	2009	2633	0.1	8660.52	8890.76	96	69.4	1614.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	561.6
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	31	1	11323	12	31	2010	2666	0.0	8404.10	8757.50	103	23.2	2112.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	868.4
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	1	365	12	30	1980	2626	0.2	4860.95	4957.66	114	142.0	2452.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	465.2
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	2	1	731	12	31	1981	2634	0.3	7209.41	7636.68	106	120.1	2213.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	397.2
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	3	1	1096	12	31	1982	2650	0.0	8300.05	8476.34	115	106.7	2537.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	466.8
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	4	1	1461	12	31	1983	2619	0.7	7261.23	7395.84	103	126.8	2260.6	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	585.5
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	5	1	1826	12	30	1984	2617	0.0	6905.32	6992.36	122	141.7	2898.2	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	524.7
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	6	1	2192	12	31	1985	2612	2.3	6501.48	6689.38	118	146.4	2370.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	572.3
OliveGIS	30set19	17:41:18	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	7	1	2557	12	31	1986	2627	0.0	7975.38	8106.74	137	166.4	2499.5	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	509.5
